state_name,district_name,block_tehsil_name,village_name,ref_village_type_name,major_medium_scheme,major_medium_scheme_name,geographical_area,cultivable_area,net_sown_area,gross_irrigated_area_kharif_season,gross_irrigated_area_rabi_season,gross_irrigated_area_perennial_season,gross_irrigated_area_other_season,gross_irrigated_area_total,net_irrigated_area,avg_ground_water_level_pre_monsoon,avg_ground_water_level_post_monsoon,ref_selection_wua_exists_name
MAHARASHTRA,PUNE,INDAPUR,KHOROCHI,Non-Tribal,No,,1273,382,229,160,45,24,0,229,229,25,23,No
MAHARASHTRA,PUNE,INDAPUR,LUMEWADI,Non-Tribal,No,,394,118,71,49,14,8,0,71,71,21,19,No
MAHARASHTRA,PUNE,INDAPUR,NARUTWADI,Non-Tribal,No,,1421,426,256,179,51,26,0,256,256,23,21,No
MAHARASHTRA,PUNE,INDAPUR,SAPKALWADI,Non-Tribal,No,,917,275,165,115,33,17,0,165,165,24,22,No
MAHARASHTRA,PUNE,INDAPUR,SIRSATWADI,Non-Tribal,No,,788,236,142,99,28,15,0,142,142,13,11,No
MAHARASHTRA,PUNE,INDAPUR,VAKILWASTI,Non-Tribal,No,,1661,498,299,209,59,31,0,299,299,19,17,No
MAHARASHTRA,PUNE,INDAPUR,PADASTHAL,Non-Tribal,No,,500,200,150,100,50,0,0,150,150,18,11,No
MAHARASHTRA,PUNE,INDAPUR,CHANDGAON,Non-Tribal,No,,1918,575,345,241,69,35,0,345,345,12,10,No
MAHARASHTRA,PUNE,INDAPUR,CHAVHANWADI,Non-Tribal,No,,1045,314,188,131,37,20,0,188,188,20,18,No
MAHARASHTRA,PUNE,INDAPUR,CHIKHALI,Non-Tribal,No,,1355,406,244,170,48,26,0,244,244,14,12,No
MAHARASHTRA,PUNE,INDAPUR,BORI,Non-Tribal,No,,379,114,68,47,13,8,0,68,68,14,12,No
MAHARASHTRA,PUNE,INDAPUR,CHAKATI,Non-Tribal,No,,51,15,9,6,2,1,0,9,9,17,15,No
MAHARASHTRA,PUNE,INDAPUR,AKOLE,Non-Tribal,No,,882,265,159,111,31,17,0,159,159,23,21,No
MAHARASHTRA,PUNE,INDAPUR,AWASARI,Non-Tribal,No,,938,281,169,118,33,18,0,169,169,21,19,No
MAHARASHTRA,PUNE,INDAPUR,BABHULGAON,Non-Tribal,No,,119,36,22,15,4,3,0,22,22,24,22,No
MAHARASHTRA,PUNE,INDAPUR,BAMBADWADI,Non-Tribal,No,,1483,445,267,186,53,28,0,267,267,12,10,No
MAHARASHTRA,PUNE,INDAPUR,BANDEWADI,Non-Tribal,No,,1541,462,277,193,55,29,0,277,277,20,18,No
MAHARASHTRA,PUNE,INDAPUR,BANDGARWADI ,Non-Tribal,No,,1287,386,232,162,46,24,0,232,232,15,13,No
MAHARASHTRA,PUNE,INDAPUR,BELEWADI,Non-Tribal,No,,265,80,48,33,9,6,0,48,48,11,9,No
MAHARASHTRA,PUNE,INDAPUR,DALAJ NO.1,Non-Tribal,No,,1729,519,311,217,62,32,0,311,311,20,18,No
